song_number,code,lyrics
1,5594,"(!Franchesckaar!) They all love you
(!Franchesckaar!) They all want you
(!Franchesckaar!) Of course they do
(!Franchesckaar!) Oh yes, it's true
(!Franchesckaar!) They love your skin
(!Franchesckaar!) They want your hair
(!Franchesckaar!) They want your eyes
(!Franchesckaar!) I tell no lies
Jack Wills, clipped hair, penciled eyes, you get attention
Tight shirt, straight teeth, pinned up smile, all of them mention
How you look nice, tip-top, beautiful, the cat's pajamas
Suntan, golden brown, where you been? To the Bahamas?
Oh, but you can't see it, babe
Oh, you just see through it all
Oh, the girls turn green when they see you
'Cause all of the boys start to call
(!Franchesckaar!) They all love you
(!Franchesckaar!) They all want you
(!Franchesckaar!) Of course they do
(!Franchesckaar!) Oh yes, it's true
(!Franchesckaar!) They love your skin
(!Franchesckaar!) They want your hair
(!Franchesckaar!) They want your eyes
(!Franchesckaar!) I tell no lies
You might also like
Lucy

Fancy

Cupid (Twin Version)
FIFTY FIFTY
You've got your blue eyes, pink lips, Ugg boots, and lots of passion
Acoustic, iPod, soft sounds, music fashion
Sloan style, neck scarves, clingy friends all around you
You're the icon, shine out, watch what you do
Oh, but you can't feel it, babe
The effect you have on all of them
Oh, everyone stops and stares
And then the boys begin to call
(!Franchesckaar!) They all love you
(!Franchesckaar!) They all want you
(!Franchesckaar!) Of course they do
(!Franchesckaar!) Oh yes, it's true
(!Franchesckaar!) They love your skin
(!Franchesckaar!) They want your hair
(!Franchesckaar!) They want your eyes
(!Franchesckaar!) I tell no lies
(!Franchesckaar!) They all love you
(!Franchesckaar!) They all want you
(!Franchesckaar!) Of course they do
(!Franchesckaar!) Oh yes, it's true
(!Franchesckaar!) They love your skin
(!Franchesckaar!) They want your hair
(!Franchesckaar!) They want your eyes
(!Franchesckaar!) I tell no lies
'Cause they want you and they need you
And they love you and they crave you
'Cause they want you and they need you
And they love you, love you
(!Franchesckaar!) They love you, yeah, yeah, they love you
(!Franchesckaar!) They want you, yeah, yeah, they want you
(!Franchesckaar!) They want your skin, your hair, your eyes
(!Franchesckaar!) I don't tell no lies, no
(!Franchesckaar!) They all love you
(!Franchesckaar!) They all want you
(!Franchesckaar!) Of course they do
(!Franchesckaar!) Oh yes, it's true
(!Franchesckaar!) They love your skin
(!Franchesckaar!) They want your hair
(!Franchesckaar!) They want your eyes
(!Franchesckaar!) I tell no lies
(!Franchesckaar!) They all love you
(!Franchesckaar!) They all want you
(!Franchesckaar!) Of course they do
(!Franchesckaar!) Oh yes, it's true
(!Franchesckaar!) They love your skin
(!Franchesckaar!) They want your hair
(!Franchesckaar!) They want your eyes
(!Franchesckaar!) I tell no lies"
2,3861,"You see, the thing about her
She's just a bit too young, I think, personally
I don't really think she's ready for this kind of commitment yet
But whatever, you know what I mean?
It's your life, isn't it?
Bitch
When you first walked in the room, I had this feeling
You were gonna build me up then slowly tear me down
But then I looked behind the framework
And all of the glitz and gleams in your eyes (Yeah, yeah)
'Cause you're just a bad, bad girl with no brains inside your head (No)
Keep givin' it all this talkin' like you know it, but you don't know shit
'Cause people cringe when you tell 'em a crazy fact (Ha ha)
The way the words pour out don't make you sound all that
'Cause Lucy, no one wants you here
Yeah Lucy, no one wants you here (No, they don't, no)
Yeah Lucy, no one wants you here (Ha ha ha)
Yeah Lucy, no one wants you here (Yeah)
You might also like
Chas’s Song

!Franchesckaar!

Fancy

The way you were slagging me off before you even met me
With your preppy ex-boyfriend, that just weren't too wise
The way I caught you whisperin' and lookin' me up and down
Subtlety is clearly not your game
You're a mixed up girl with no real friends in life
You get mouthy in a second, but pipe down, it don't work on me
'Cause people laugh when you get mad (Ha ha)
Tellin' people how to run their lives is really quite sad (Yeah)
'Cause Lucy, no one wants you here (No, they don't, nope)
Yeah Lucy, no one wants you here (No, they don't, no)
Yeah Lucy, no one wants you here (Oh, yeah)
Yeah Lucy, no one wants you here (Yeah)
I'll do what I want, get out of my way
Don't just stand there, say what you want to say (Move)
Get out of my face (Move), 'cause you got it wrong (Ugh)
Just move along now on your own (Get out of here)
Don't get on my nerves (Yeah), I've got my contacts (Get out of my way)
Don't try and control me 'cause you'll get knocked back
Back into your place, right where you belong
Lucy, take a good listen to this song (Yeah)
Lucy, no one wants you here (No, they don't, no one wants you, just go)
Lucy, no one wants you here (No, they don't want you)
Lucy, no one wants you here (She doesn't want you, I don't want you, just go)
Yeah, Lucy, no one wants you here (Yeah, yeah)
Yeah, Lucy, no one wants you here (Just leave me alone, go away)
Lucy, no one wants you here (No, they don't want you)
Lucy, no one wants you here
Yeah, Lucy, no one wants you here (Yeah, ha ha ha)"
3,5631,"Verse 1]
It was twenty-five past nine at night and I was really bored
So I sat down with my guitar, but I needed some new chords
I spoke to my good friend called Chas, he was an indie boy
With skinny jeans and vintage shoes and hair all over the shop
And he said, ""Oh girl, just use a good chord combination
That will make the boys go goo-goo eyed
And give them inspiration, honey
You need a sweet and simple melody that you can sing along to
An indie tune that'll make the girls swoon
That a raver boy can dance to""
Oh, oh-oh, oh, oh
Oh, oh-oh, oh, oh
Oh, oh-oh, oh, oh
Oh, oh
I said, ""It sounds okay""
He said, ""Of course it does, you're a magician on guitar""
I said, ""thank you, love
I'm not that great and I wouldn't go that far""
I've got this friend called Paul and his brain ain't small
He played the violin
But now he's a rocker, a leather jacket shocker
I wish I could play like him
You might also like
Leave Me

Lucy

Fancy

He said, ""Oh girl, just use a good chord combination
That will make the boys go goo-goo eyed
And give them inspiration, honey
You need a sweet and simple melody that you can sing along to
An indie tune that'll make the girls swoon
When a raver boy asks for a dance""
For a dance, for a dance
Oh, oh-oh, oh, oh
Oh, oh-oh, oh, oh
Oh, oh-oh, oh, oh
Oh, oh
And he said, ""Oh girl, just use a good chord combination
That will make the boys go goo-goo eyed
And give them inspiration, honey
You need a sweet and simple melody that you can sing along to
An indie tune that'll make the girls swoon
That a raver boy can dance to""
Oh, oh-oh, oh, oh
Oh, oh-oh, oh, oh
Oh, oh-oh, oh, oh
Oh, oh
Oh, oh-oh, oh, oh
Oh, oh-oh, oh, oh
Oh, oh-oh, oh, oh"
4,2494,"Now is the time
We've both crossed the line
It's been way too long
And now we both see
How we can really be
And I see your face
And it reflects mine
Except mine isn't stained
With teardrops and lines
'Cause like you
Our friendship has withered
Quick, go away for a long time
Before I change my mind
If you stay, I'll only want more of you
So get out of my face
Get off of my doorstep and leave me, yeah
To cry on the inside
Well I'll call you again to see if we're friends
But I think we both know that our friendship
Cannot continue
Well I'll say that I'm fine and just wait for the time
Till I know that I can live up to your expectations
You might also like
I’ll Teach You A Lesson

Chas’s Song

Fancy

Quick, go away for a long time
Before I change my mind
If you stay, I'll only want more of you
Get out of my face
Get off of my doorstep and leave me, yeah
To cry on the inside, yeah, yeah
I didn't love you, but oh, when I'm not with you
I can't help but want you, you so bad
Yeah, yeah yeah, yeah yeah
Quick, go away for a long time
Before I change my mind
If you stay, I'll only want more of you
So get out of my face
Get off of my doorstep and leave me, yeah
To cry on the inside"
5,2102,"Wake up one morning and your hair's all over the shop
What happened last night?
Well, the only person who knows is the person lying next to you
Get out of the bed, and you scream at your reflection
Same old, same old, it's just a typical day, it's going ahead again
But oh, boy, why don't you get some variation
Oh, boy, just have a retaliation
Oh, boy, just get some motivation
'Cause your friends are all out getting drunk
Whilst you're sitting at home having no fun
Come on, come on
Let's go for a ride
Why don't we go for a ride?
Come on, come on
Let's go for a ride
Backcomb your hair
Tie up your shoes
We're gonna go to town
Come on, take the camera, you got nothing to lose
Scream and shout, all your friends do it too
Come on, what you waiting for?
I told you before, you got nothing to lose
You might also like
Machines

Leave Me

Fancy

Oh, boy, you're seeming so much better
Since I posted you on your red letter day
Oh, boy, you know all the girls are jealous of you
And they're polishing their pumps with the ra-ra skirts and the polka-dots
Just to try to impress you
Come on, come on
Let's go for a ride
Why don't we go for a ride?
Come on, come on
Let's go for a ride
Oh now, you're getting too good for me
Oh now, you're getting too good for me
Oh now, you're getting too good for me
Stealing all my limelight and my backstage passes
But then you say
'Come on, come on
Let's go for a ride
Why don't we go for a ride?
Come on, come on
Let's go for a ride
Oh"
6,5872,"Yeah yeah yeah
Oh oh, la-da-da-da
I sit up in my room at night
Hold on to my pillow tight
My dreams are being invaded by something I don't know
I hear these words in my mind
I don't know who put them there, but they sure ain't mine
Who's inside everyone's brain?
Cause recently everybody's been acting all the same
But now I know
Who writes the songs?
The machines do
Who rights the wrongs?
The machines do
Who plants the bombs?
The machines do
Oh, oh, oh, oh, oh
How did they get inside my head?
Making us feel so cold and dead
Your thoughts being captured as well
Replacing originality
With the same story we all tell
You might also like
Supermodels and Holiday Stunners

I’ll Teach You A Lesson

Fancy

Who writes the songs?
The machines do
Who rights the wrongs?
The machines do
Who plants the bombs?
The machines do
Oh, oh, oh, oh, oh
Who writes the songs?
The machines do, they do
Who rights the wrongs?
The machines do
Who plants the bombs?
The machines do
Oh, oh, oh, oh, oh
I don't know where my words are from
I don't know where my friends have gone
I keep trying to break these rules
But my words, they never flow through
What's happening in the world today?
Seems like my mind has gone astray
It's okay to lose control
But I've never felt so lost before
But now I know
Who writes the songs?
The machines do, they do
Who rights the wrongs?
The machines do
Who plants the bombs?
The machines do
Oh, oh, oh, oh, oh
Who writes the songs?
The machines do
Who rights the wrongs?
The machines do
Who plants the bombs?
Oh, oh, oh, oh, oh
Machines"
7,0909,"Now if I had to be honest with ya
I thought you did fancy me just a little bit
It was like one of 'em twisted love tales
The endings didn't quite fit but
You were different
A rock and roll troll with your hair greased up, all in leather
And I was a pretty girl, polka-dots, hair in curls
Close friends all quite clever
It didn't really happen to start with
I have to say, I thought that maybe
I was wrong and you liked the girl you met on holiday
More than you liked me
But then I thought
'Hey, what does she have to offer that I don't?'
Three Rolls-Royces and a cruise boat
But you picked the tramp over the queen
And you know
I actually liked you
You made me laugh lots
Made me giggle when I sipped my drink
Made me put more effort into my lyrics
You might also like
Watch the Rain

Machines

Fancy

It didn't really happen to start with
I have to say, I thought that you were still obsessed by
The model stunners like Lily Cole and that Brazilian chick
Whoa, oh, oh
What do you say when you think it's time to walk away
Turn around, wave goodbye?
Or come and politely kiss me on the cheek, by my side?
Now that it's over, will you take my picture off your wall
Fill it with the holiday girl and Lily Cole
Or will you just leave me there to hang un-peacefully?
Oh, oh
Oh, oh"
8,1017,"Let it pour, let it fall down like your dreams
Let it go, let it flow away into the gutter
Let it wash all the colour away from yourself
Let it take away the pain
I remember when you asked me do I ever watch the rain
And I remember I was watching it then but I just didn't want to say
And now when you look out your window it will never be the same
'Cuz when it pours down from now on you'll always think of my name, yeah
I'll be in your brain
And if you get a leak in your roof
Just think of it like my problems pouring through
And if you get a hole in your ceiling
Think of how I'll be feeling, cold and all alone
Like a drifting leaf, yeah, falling from the autumn trees yet again
(And again and again and again)
And again, oh oh
Watch it drop from the sky like a child running away
Watch it roll off the page like a tear from my face
Hear the pitter patter on the pavement like me knocking on your door
As it brushes the floor
You might also like
Live Life

Supermodels and Holiday Stunners

Fancy

I remember when you asked me do I ever watch the rain
And I remember I was watching it then but I just didn't want to say
And now when you look out your window it will never be the same
'Cuz when it pours down from now on you'll always think of my name, yeah
I'll be in your brain
And if you get a leak in your roof
Just think of it like my problems pouring through
And if you get a hole in your ceiling
Think of how I'll be feeling, cold and all alone
Like a drifting leaf, yeah, falling from the autumn trees yet again
(And again and again and again)
And again, oh oh
And I know you're working me out slowly but surely, slowly but surely
And I know you'll never tell about my other side
And that's why we all watch the rain, to wash away the secrets and the lies
'Cuz I know everyone watches the rain sometimes
Watch it fall down as you watched me fall for you
'Cuz you knew it was about you but you didn't have the guts to say
That you knew it was all for you"
9,1571,"What's been goin' on this week
Well, people started dealin' speed
And kids my age start smokin' weed
Just so that they can get some sleep
'Cause parents, they get really mad
When their children start to turn all bad
And start hanging out with the wrong group of lads
Who smoke dodgy spliffs and pick fights with the chavs
But they forget
You can't rewind, no
You can't turn back time
'Cause there's always gonna be a better grassy side
But no one's gonna get there
So, just let them live their lives
Take a look inside the bag
It's enough to make you want to gag
'Cause you find out your daughter's a filthy slag
Some naked pictures and a box of soggy fags
You might also like
Neon Fashion and Glowstix

Watch the Rain

Fancy

'Cause parents, they get really mean
And they start to get all threatening
Saying they'll pack you out onto the street
If you come in late, smelling of green
But they forget
You can't rewind, no
You can't turn back time
'Cause there's always gonna be a better grassy side
But no one's gonna get there
So, just let them live their lives
What's been goin' on today
Well, Susie didn't have her say
So she got her things and ran away
Never showed her face again
And Johnny failed every exam
Screwed up his parents' whole life plan
They got no job, can't be no man
He's a lazy ass, not a helpin' hand
'Cause parents, they get really mad
When their children start to turn all bad
And start hanging out with the wrong group of lads
Who smoke dodgy spliffs and pick fights with the chavs
'Cause parents, they get really mean
And they start to get all threatening
Saying they'll pack you out onto the street
If you come in late, smelling of green
But they forget
You can't rewind, no
You can't turn back time
'Cause there's always gonna be a better grassy side
But no one's gonna get there
So, just let them live their lives
Go on, let them live it
They're gonna just live their lives
Let her take another drag 'cause
They're gonna just live their lives"
10,5499,"I can't believe you actually said to me
""I'm the one who made you""
Who do you really think you are?
You know you're making this more complicated than before
You know you're making me hate you more than I've ever done before
'Cause there's no way that you're allowed to say
That you built me up 'cause I was already made this way
Oh, look what you've done now
Just back down, yeah, back down (yes, back down)
'Cause I don't want you and your skinny jeans hanging around (just get out)
I was made to apologize but I didn't mean it (of course I didn't)
'Cause that T-shirt that you got me
I don't want it, you can keep it (is that your facts?)
We messed it up, yeah (we got mashed up)
Both too proud to back down from the battle (from the battle)
Now we've got our neons on and our glowsticks out, trying to fight it out
To see who's more individual (ha)
But we know that's what it's about, yeah
You might also like
Mauritius

Live Life

Fancy

So, what you gonna do when I leave you
You'll have no one who wants to play along with your silly little rules
'Cause you look up to someone much older
And bolder who barely knows you
They only want to talk to you so they can steal
Your cardigans and your Air Force Ones
Oh, look what you've done now
Just back down, yeah, back down (yes, back down)
'Cause I don't want you and your skinny jeans hanging around (just get out)
I was made to apologize but I didn't mean it (of course I didn't)
'Cause that T-shirt that you got me
I don't want it, you can keep it (is that your fact)
We messed it up, yeah (we got mashed up)
Both too proud to back down from the battle (from the battle)
Now we've got our neons on and our glowsticks out, trying to fight it out
To see who's more individual
You got your glowsticks and all of your, you know
Your flashy little things
You've got your Spider-Man stickers, your brown hair, your polka-dots
But just leave it out
Leave it out
I told you, we're both the same
Both as catty as each other
Do you remember when we went to see that band
We couldn't stand and dance around 'cause you got us seated tickets
And oh, remember when we used to hold hands
Skip along and try to get our Converse dirty like
I remember when you used to call my name
And we'd play them cheatin' games behind people's backs
But we lost that in the neon competition
That's what it was really about, oh
(Game over)"
